study_hours_per_day,attendance_percent,previous_exam_score,sleep_hours,extracurricular_activities,part_time_job,final_exam_score,passed
5.0,91.1,86.0,7.5,0,0,66.5,1
3.7,100.0,78.9,5.8,0,0,40.6,0
5.3,63.2,65.9,5.4,0,0,43.5,0
7.0,86.8,55.3,6.5,0,0,60.2,1
3.5,72.2,75.5,6.3,1,0,50.6,1
3.5,74.2,70.9,5.9,1,0,72.2,1
7.2,72.9,78.4,7.4,0,0,63.5,1
5.5,69.6,74.5,7.7,1,1,40.3,0
3.1,80.6,80.7,6.6,0,0,49.3,0
5.1,70.0,57.0,8.4,0,0,32.9,0
3.1,83.2,84.8,5.0,0,0,49.7,0
3.1,79.4,68.0,6.2,0,1,32.8,0
4.5,77.1,96.1,5.6,1,0,65.9,1
0.2,69.1,54.7,4.1,1,0,25.5,0
0.6,73.1,91.0,6.4,0,0,41.7,0
2.9,89.1,68.0,6.3,0,0,43.0,0
2.0,86.0,55.2,8.5,0,0,59.7,1
4.6,68.3,57.7,7.3,0,0,43.2,0
2.2,81.2,60.2,5.2,0,0,57.6,1
1.2,89.0,71.4,8.9,0,1,48.3,0
6.9,60.0,72.8,8.1,1,0,60.9,1
3.5,86.5,56.4,7.3,1,0,52.8,1
4.1,72.0,64.6,6.2,0,1,43.9,0
1.2,86.8,97.1,5.3,1,0,33.2,0
2.9,70.8,90.9,6.0,0,0,46.2,0
4.2,58.3,71.5,7.9,0,0,53.6,1
1.7,60.5,65.6,8.9,0,0,38.1,0
4.8,80.6,66.8,8.5,1,1,36.5,0
2.8,83.1,74.2,5.9,1,1,42.8,0
3.4,69.1,49.7,5.0,1,0,55.3,1
2.8,87.7,61.1,6.7,0,0,57.9,1
7.7,60.1,40.0,4.2,1,1,40.3,0
4.0,79.2,71.0,6.9,0,1,52.9,1
1.9,65.5,74.7,6.3,1,1,32.5,0
5.6,72.2,57.8,5.9,0,0,33.6,0
1.6,80.6,88.6,4.4,0,0,37.1,0
4.4,69.7,46.6,7.2,1,1,52.5,1
0.1,75.4,43.0,5.8,1,0,28.5,0
1.3,92.1,68.4,5.0,0,0,41.5,0
4.4,73.1,80.7,3.0,1,0,47.1,0
5.5,90.0,90.3,6.5,0,0,79.6,1
4.3,66.4,58.1,8.8,1,0,62.4,1
3.8,86.4,81.2,8.7,1,0,77.6,1
3.4,97.3,64.4,5.9,1,1,45.5,0
1.0,50.3,62.4,5.7,1,0,33.7,0
2.6,70.4,78.3,7.1,0,1,25.8,0
3.1,86.9,74.8,5.2,0,0,62.5,1
6.1,77.6,41.4,6.9,1,0,39.8,0
4.7,84.5,87.1,7.5,0,1,54.6,1
0.5,72.8,85.7,8.1,0,0,32.9,0
4.6,81.0,55.6,6.4,0,0,43.2,0
3.2,78.1,70.9,6.2,0,0,39.6,0
